,C,algorithm,alpha,base_model_class,base_model_params,batch_size,dataset,fit time,fs_length,fs_type,gamma,kernel,learning_rate,max_bins,max_depth,max_rounds,max_theta,min_samples_leaf,n_iter,norm,rademacher,regularization,sigma,test R2,train R2,train pred time
0,,RWSign,,,,50.0,diabetes,1.2766437530517578,,,,,,,,,0.9,,5000.0,15.727628514829249,31.53367410507748,0.0001,,0.3481081049193137,0.5458501216651384,0.0302586555480957
1,,RWRelu,,,,50.0,diabetes,1.288405418395996,,,,,,,,,0.1,,5000.0,51.623407890269824,20.91605825686583,1e-05,,0.3493216998683559,0.6038593844233213,0.0711665153503418
2,,RWStumps,,,,50.0,diabetes,1.2384312152862549,,,1.0,,,,,,,,5000.0,14.898976047693582,2.720186817542789,0.0001,1.0,0.3388177138764393,0.575485438590379,0.0414121150970459
3,,RWSign 1-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,36.53348731994629,1.0,any,,,,,,,,,5000.0,0.0426414434567801,0.2997828572316474,0.01,,0.3024803598208028,0.4720477308587607,0.9137401580810548
4,,RWRelu 1-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,diabetes,36.55307173728943,1.0,any,,,,,,,,,5000.0,0.3443019731750873,0.2950808046644196,0.01,,0.3138114772563608,0.5880969160785505,0.9769532680511476
5,,RWSign 2-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,13.670516729354858,2.0,any,,,,,,,,,5000.0,1.433784048827195,0.2914686924283833,0.01,,0.3691763011932478,0.5631307765984852,0.9611935615539552
6,,RWRelu 2-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,diabetes,13.96148681640625,2.0,any,,,,,,,,,5000.0,4.313602945800551,0.9852303505534754,0.001,,0.3052071654915421,0.6275352868886623,1.032531976699829
7,,RWSign 3-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,9.642444610595703,3.0,any,,,,,,,,,5000.0,52.88553164404158,3.70520130117447,1e-05,,0.3386230174513247,0.6174428419539445,0.9677653312683104
8,,RWRelu 3-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,diabetes,9.963190793991089,3.0,any,,,,,,,,,5000.0,16.265434647214892,1.3753753396630468,0.0001,,0.3315977110998022,0.6182850496265138,1.049492120742798
9,,RWSign 4-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,8.68024730682373,4.0,any,,,,,,,,,5000.0,139.7788222332318,12.596381543525274,1e-06,,0.3491954052223673,0.5895858122432538,0.976738691329956
