,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,100,0.003000020980834961,2,0.0,,
1,SHAP-IQ,100,0.0875253677368164,2,,507.0,0.5962306729557421
2,SHAP-IQ,100,0.08513402938842773,2,,507.0,0.6132209680672427
3,SHAP-IQ,100,0.18200302124023438,2,,1005.0,0.8337040632107072
4,SHAP-IQ,100,0.16000628471374512,2,,1005.0,0.813415780903567
5,SHAP-IQ,100,0.2120039463043213,2,,1502.0,0.8945067631326611
6,SHAP-IQ,100,0.2129969596862793,2,,1502.0,0.8715442720083826
7,SHAP-IQ,100,0.30402684211730957,2,,2000.0,0.9068781228849473
8,SHAP-IQ,100,0.3000364303588867,2,,2000.0,0.9172936527062642
9,3-STAR-SHAP,100,0.003999233245849609,3,0.0,,
10,SHAP-IQ,100,0.08800029754638672,3,,507.0,0.1733533841868662
11,SHAP-IQ,100,0.08999967575073242,3,,507.0,0.4234878787626517
12,SHAP-IQ,100,0.1880018711090088,3,,1005.0,0.7230965102253608
13,SHAP-IQ,100,0.16199898719787598,3,,1005.0,0.7358442692200726
14,SHAP-IQ,100,0.21600031852722168,3,,1502.0,0.7812935419065878
15,SHAP-IQ,100,0.21000218391418457,3,,1502.0,0.7549488100307377
16,SHAP-IQ,100,0.31600046157836914,3,,2000.0,0.8420073745676457
17,SHAP-IQ,100,0.28599977493286133,3,,2000.0,0.8363153833913748
18,4-STAR-SHAP,100,0.009000778198242188,4,0.0,,
19,SHAP-IQ,100,0.1639995574951172,4,,1005.0,0.2653575494449205
20,SHAP-IQ,100,0.15900039672851562,4,,1005.0,0.3358322627051997
21,SHAP-IQ,100,0.21084356307983398,4,,1502.0,0.5058238851476511
22,SHAP-IQ,100,0.21000075340270996,4,,1502.0,0.4898443268033307
23,SHAP-IQ,100,0.28649163246154785,4,,2000.0,0.645329480441547
24,SHAP-IQ,100,0.28389477729797363,4,,2000.0,0.6011244428026983
25,5-STAR-SHAP,100,0.019838333129882812,5,0.0,,
26,SHAP-IQ,100,0.0859837532043457,5,,507.0,-0.018087468053574973
27,SHAP-IQ,100,0.08500027656555176,5,,507.0,0.1283850175261788
28,SHAP-IQ,100,0.16500091552734375,5,,1005.0,0.49044460785521893
29,SHAP-IQ,100,0.1592245101928711,5,,1005.0,0.47266089562085434
30,SHAP-IQ,100,0.21500182151794434,5,,1502.0,0.667556153041146
31,SHAP-IQ,100,0.2108595371246338,5,,1502.0,0.686757448110585
32,SHAP-IQ,100,0.28440046310424805,5,,2000.0,0.7353168971041815
33,SHAP-IQ,100,0.280773401260376,5,,2000.0,0.754252439739695
34,6-STAR-SHAP,100,0.04300069808959961,6,0.0,,
35,SHAP-IQ,100,0.08622956275939941,6,,507.0,0.17808035568373404
36,SHAP-IQ,100,0.08500003814697266,6,,507.0,-0.02412192198942953
37,SHAP-IQ,100,0.16265320777893066,6,,1005.0,0.456476168979419
38,SHAP-IQ,100,0.1580045223236084,6,,1005.0,0.533442950466532
39,SHAP-IQ,100,0.21400022506713867,6,,1502.0,0.7148995208336604
40,SHAP-IQ,100,0.22100019454956055,6,,1502.0,0.7363192217105119
41,SHAP-IQ,100,0.28558969497680664,6,,2000.0,0.7335152813841981
42,SHAP-IQ,100,0.2933797836303711,6,,2000.0,0.7504861475927413
43,7-STAR-SHAP,100,0.09184026718139648,7,0.0,,
44,SHAP-IQ,100,0.0840003490447998,7,,507.0,0.000682993627495132
45,SHAP-IQ,100,0.0839989185333252,7,,507.0,-0.12445765964659916
46,SHAP-IQ,100,0.15956950187683105,7,,1005.0,0.4652327756935062
47,SHAP-IQ,100,0.15802359580993652,7,,1005.0,0.5286212758850621
48,SHAP-IQ,100,0.2106032371520996,7,,1502.0,0.6664355959081832
49,SHAP-IQ,100,0.20892882347106934,7,,1502.0,0.6989279191572574
50,SHAP-IQ,100,0.28565502166748047,7,,2000.0,0.742947955151519
51,SHAP-IQ,100,0.28253602981567383,7,,2000.0,0.7038546724985353
