,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,100,0.21152472496032715,2,0.0,,
1,SHAP-IQ,100,1.0380771160125732,2,,428.0,-0.19940869148106377
2,SHAP-IQ,100,1.0381205081939697,2,,428.0,-0.05555461620274493
3,SHAP-IQ,100,1.041593313217163,2,,428.0,-0.06289148034751402
4,SHAP-IQ,100,1.0338411331176758,2,,428.0,-0.07070113522239607
5,SHAP-IQ,100,1.0392556190490723,2,,428.0,-0.0356312664108529
6,SHAP-IQ,100,1.0398316383361816,2,,428.0,0.010566056445222238
7,SHAP-IQ,100,1.0397281646728516,2,,428.0,-0.14570866200712818
8,SHAP-IQ,100,1.0348265171051025,2,,428.0,-0.0780202232248266
9,SHAP-IQ,100,1.0385098457336426,2,,428.0,0.017335411916092225
10,SHAP-IQ,100,1.0377464294433594,2,,428.0,-0.07924362793757478
11,SHAP-IQ,100,1.0349705219268799,2,,428.0,0.022384947173663128
12,SHAP-IQ,100,1.0530731678009033,2,,428.0,0.0027353275546518896
13,SHAP-IQ,100,1.0433988571166992,2,,428.0,0.01386278688280207
14,SHAP-IQ,100,1.0417168140411377,2,,428.0,-0.021385881206356094
15,SHAP-IQ,100,1.0421912670135498,2,,428.0,-0.036425086921726635
16,SHAP-IQ,100,1.0402114391326904,2,,428.0,0.07996096671471142
17,SHAP-IQ,100,1.0402228832244873,2,,428.0,-0.019128454564576902
18,SHAP-IQ,100,1.0380594730377197,2,,428.0,0.008464192337989118
19,SHAP-IQ,100,1.042163610458374,2,,428.0,-0.006269837116798849
20,SHAP-IQ,100,1.0419564247131348,2,,428.0,-0.06996370409937591
21,SHAP-IQ,100,1.2348308563232422,2,,533.0,0.2531581210374515
22,SHAP-IQ,100,1.2298164367675781,2,,533.0,0.22698950184189248
23,SHAP-IQ,100,1.2310848236083984,2,,533.0,0.18879318907641462
24,SHAP-IQ,100,1.2481656074523926,2,,533.0,0.23989871120701844
25,SHAP-IQ,100,1.2350373268127441,2,,533.0,0.07752674425637907
26,SHAP-IQ,100,1.23219633102417,2,,533.0,0.17224527535674294
